2025-07-15 14:53:24.343580 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d9443c01a7336-23de4365e47sm109818125ad.248 - gsmtp') | Fail
2025-07-15 14:56:27.332507 | Monitor started | Info
2025-07-15 14:57:18.731238 | Monitor started | Info
2025-07-15 15:00:48.529399 | Monitor started | Info
2025-07-15 15:00:57.981060 | USB inserted | Detected
2025-07-15 15:00:57.983928 | USB inserted | Detected
2025-07-15 15:00:58.696936 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:01:00.327337 | Could not find volume number for G | Fail
2025-07-15 15:01:18.138043 | Fatal error: NextEvent.VolumeName | Fail
2025-07-15 15:01:38.017235 | USB inserted | Detected
2025-07-15 15:01:38.733221 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:01:40.447212 | Could not find volume number for G | Fail
2025-07-15 15:01:49.332940 | USB access denied (USB disabled) | Intruder
2025-07-15 15:01:53.479266 | Photo captured | Success
2025-07-15 15:02:03.831167 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31c301ed0c0sm14613075a91.47 - gsmtp') | Fail
2025-07-15 15:02:42.025198 | Monitor started | Info
2025-07-15 15:07:52.724351 | Monitor started | Info
2025-07-15 15:12:44.952690 | Monitor started | Info
2025-07-15 15:12:54.913556 | USB inserted | Detected
2025-07-15 15:12:54.915837 | USB inserted | Detected
2025-07-15 15:12:55.651574 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:12:57.192036 | Could not find volume number for G | Fail
2025-07-15 15:13:08.251776 | Fatal error: NextEvent.VolumeName | Fail
2025-07-15 15:13:45.861974 | USB inserted | Detected
2025-07-15 15:13:46.552250 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:13:58.972389 | Monitor started | Info
2025-07-15 15:14:01.337416 | USB inserted | Detected
2025-07-15 15:14:01.339544 | USB inserted | Detected
2025-07-15 15:14:02.056864 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:14:03.633913 | Could not find volume number for G | Fail
2025-07-15 15:14:13.878202 | USB access denied (USB disabled) | Intruder
2025-07-15 15:14:18.098646 | Photo captured | Success
2025-07-15 15:14:25.145172 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 98e67ed59e1d1-31c3eb7e357sm12643588a91.47 - gsmtp') | Fail
2025-07-15 15:15:16.866711 | Monitor started | Info
2025-07-15 15:15:24.466284 | USB inserted | Detected
2025-07-15 15:15:24.473054 | USB inserted | Detected
2025-07-15 15:15:25.455759 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:15:26.675853 | Could not find volume number for G | Fail
2025-07-15 15:15:46.201406 | Fatal error: NextEvent.VolumeName | Fail
2025-07-15 15:16:04.226414 | USB inserted | Detected
2025-07-15 15:16:04.230228 | USB inserted | Detected
2025-07-15 15:16:05.363010 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
2025-07-15 15:16:06.497035 | Could not find volume number for G | Fail
2025-07-15 15:16:27.511075 | USB access denied (USB disabled) | Intruder
2025-07-15 15:16:31.595716 | Photo captured | Success
2025-07-15 15:16:49.536445 | Email failed: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d2e1a72fcca58-74eb9f1b355sm11543306b3a.80 - gsmtp') | Fail
2025-07-15 15:17:04.783208 | Monitor started | Info
2025-07-15 15:17:16.396926 | USB inserted | Detected
2025-07-15 15:17:16.398728 | USB inserted | Detected
2025-07-15 15:17:17.192367 | Fatal error: [WinError 740] The requested operation requires elevation | Fail
